Вс 2021.11.14  время 04:06:49 PM MSK - INFO: ArrayList
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=0 ,time=6900
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=1 ,time=1200
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=2 ,time=1400
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=3 ,time=1300
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=4 ,time=1300
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=5 ,time=1100
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=6 ,time=1100
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=7 ,time=900
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=8 ,time=1100
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=9 ,time=800
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=10 ,time=2100
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=11 ,time=500
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=12 ,time=600
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=13 ,time=800
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=14 ,time=1100
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=15 ,time=2000
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=16 ,time=1100
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=17 ,time=2000
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=18 ,time=1300
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=19 ,time=900
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=20 ,time=900
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=21 ,time=1000
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=22 ,time=1700
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=23 ,time=800
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=24 ,time=900
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=25 ,time=2900
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=26 ,time=1200
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=27 ,time=700
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=28 ,time=600
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=29 ,time=800
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=30 ,time=1500
Вс 2021.11.14  время 04:06:49 PM MSK - ADD: index=31 ,time=900
