Вс 2021.11.14  время 04:19:59 PM MSK - ADD: index=92 ,time=9200
Вс 2021.11.14  время 04:19:59 PM MSK - ADD: index=93 ,time=700
Вс 2021.11.14  время 04:19:59 PM MSK - ADD: index=94 ,time=600
Вс 2021.11.14  время 04:19:59 PM MSK - ADD: index=95 ,time=800
Вс 2021.11.14  время 04:19:59 PM MSK - ADD: index=96 ,time=600
Вс 2021.11.14  время 04:19:59 PM MSK - ADD: index=97 ,time=1200
Вс 2021.11.14  время 04:19:59 PM MSK - ADD: index=98 ,time=1000
Вс 2021.11.14  время 04:19:59 PM MSK - ADD: index=99 ,time=900
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=21 ,time=19800
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=84 ,time=7500
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=83 ,time=5700
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=80 ,time=4300
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=63 ,time=6400
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=35 ,time=8900
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=44 ,time=8700
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=54 ,time=7100
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=17 ,time=3500
Вс 2021.11.14  время 04:19:59 PM MSK - REMOVE: index=34 ,time=5700
Вс 2021.11.14  время 04:19:59 PM MSK - INFO: 
Add: Total time = 254200, Average time = 2542
Remove: Total time = 77600, Average time = 7760
