Вс 2021.11.14  время 04:07:40 PM MSK - INFO: ArrayList
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=0 ,time=7000
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=1 ,time=1600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=2 ,time=1500
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=3 ,time=1400
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=4 ,time=900
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=5 ,time=800
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=6 ,time=1700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=7 ,time=1500
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=8 ,time=1700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=9 ,time=1600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=10 ,time=10300
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=11 ,time=1300
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=12 ,time=800
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=13 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=14 ,time=800
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=15 ,time=1300
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=16 ,time=800
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=17 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=18 ,time=500
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=19 ,time=500
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=20 ,time=800
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=21 ,time=1000
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=22 ,time=1400
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=23 ,time=900
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=24 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=25 ,time=3400
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=26 ,time=1300
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=27 ,time=1200
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=28 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=29 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=30 ,time=1300
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=31 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=32 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=33 ,time=1600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=34 ,time=800
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=35 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=36 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=37 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=38 ,time=400
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=39 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=40 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=41 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=42 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=43 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=44 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=45 ,time=800
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=46 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=47 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=48 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=49 ,time=900
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=50 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=51 ,time=700
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=52 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=53 ,time=600
Вс 2021.11.14  время 04:07:40 PM MSK - ADD: index=54 ,time=500
